FILTRO,REGION,REGION_CAB,NOM_COMUNA,ZONA,FENC_DD,FENC_MM,MB_P1_1,MB_P1_2,MB_P1_3,MB_P2,MB_P3,MB_P4,MB_P5,MB_P6,MB_P7,MB_P8,MB_P9,MB_P10,MB_P11,MB_P12,MB_P13,MB_P14,MB_P15,MB_P16,MB_P16_OTRO,MB_P16_A,MB_P16_A_OTRO,MB_P17,MB_P17_OTRO,MB_P17_A,MB_P17_A_OTRO,MB_P18,MB_P18A,MB_P19_A,MB_P19_B,MB_P19_C,MB_P19_D,MB_P19_E,MB_P19_F,MB_P19_G,MB_P19_H,MB_P19_I,MB_P19_J,MB_P19_K,MB_P19_L,MB_P19_M,MB_P19_N,MB_P19_O,MB_P19_P,MB_P19_Q,MB_P19_R,MB_P19_S,MB_P19_T,MB_P19_U,MB_P19_V,MB_P19_W,MB_P19_X,MB_P19_Y,MB_P19_Z,MB_P19_AA,MB_P19_BB,MB_P19_CC,MB_P19_DD,MB_P19_EE,MB_P20,MB_P21,MB_P22_1,MB_P22_2,MB_P22_3,MB_P22_4,MB_P22_5,MB_P22_6,MB_P22_7,MB_P22_8,MB_P23,MB_P24,MB_P25_1,MB_P25_2,MB_P25_3,MB_P25_4,CISSP_25B_1_1,CISSP_25B_1_2,CISSP_25B_1_3,CISSP_25B_1_4,CISSP_25B_1_5,CISSP_25B_1_6,CISSP_25B_1_7,CISSP_25B_1_8,CISSP_25B_1_9,CISSP_25B_2_1,CISSP_25B_2_2,CISSP_25B_2_3,CISSP_25B_2_4,CISSP_25B_2_5,CISSP_25B_2_6,CISSP_25B_2_7,CISSP_25B_2_8,CISSP_25B_2_9,MB_P26,MB_P27,MB_P28,MB_P29,MB_P300,MB_P31,MB_P32,MB_P33_1,MB_P33_2,MB_P33_3,MB_P33_4,MB_P33_5,MB_P33_6,MB_P33_7,MB_P33_8,MB_P34_1,MB_P34_2,MB_P34_3,MB_P34_4,MB_P34_5,MB_P35,CISSP_1_1,CISSP_1_2,CISSP_2_1,CISSP_2_2,CISSP_2_3,CISSP_2_4,CISSP_2_5,CISSP_2_6,CISSP_2_7,CISSP_2_8,CISSP_2_9,CISSP_3,CISSP_4,CISSP_5,CISSP_6,CISSP_6_OTRO,CISSP_7,CISSP_8_1,CISSP_8_2,CISSP_9,CISSP_10,CISSP_11,CISSP_12_1,CISSP_12_2,CISSP_12_3,CISSP_12_4,CISSP_12_5,CISSP_12_6,CISSP_12_7,CISSP_12_8,CISSP_13_1,CISSP_13_2,CISSP_14_1,CISSP_14_2,CISSP_15,CISSP_16,CISSP_17,CISSP_18,CISSP_19_1,CISSP_19_2,CISSP_20,CISSP_21,CISSP_22_1,CISSP_22_2,CISSP_23,CISSP_24_1,CISSP_24_2,CISSP_24_3,CISSP_25_1,CISSP_25_2,CISSP_26,CISSP_27,CISSP_28,CISSP_29_1,CISSP_29_2,CISSP_29_3,CISSP_29_4,CISSP_29_5,CISSP_29_6,CISSP_30,CISSP_31,CISSP_32,CISSP_33_ANO,CISSP_33_MES,CISSP_34,CISSP_35,CISSP_36,CISSP_37,CISSP_38,CISSP_39_1,CISSP_39_2,CISSP_39_3,CISSP_39_4,CISSP_39_5,CISSP_39_6,CISSP_40_1,CISSP_40_2,CISSP_40_3,CISSP_40_4,CISSP_40_5,CISSP_40_6,CISSP_41,CISSP_42,CISSP_43,CISSP_43_OTRO,CISSP_44,CISSP_45,CISSP_46_1,CISSP_46_2,CISSP_46_3,CISSP_46_4,CISSP_46_5,CISSP_47,CISSP_48,CISSP_49,CISSP_50_1,CISSP_50_2,CISSP_51,DS_P1,DS_P2,DS_P2_EXACTA,DS_P2_EDAD_APROX,DS_P2A_DIA,DS_P2A_MES,DS_P2A_ANO,DS_P3,DS_P4,DS_P5,DS_P6,DS_P6_HORAS,DS_P7,DS_P8,DS_P8_EXACTO,DS_P9,DS_P10,DS_P10_EXACTO,DS_P11,DS_P12,DS_P13A,DS_P13A_PRINCIPAL,DS_P13B,DS_P13B_PRINCIPAL,DS_P13C,DS_P13C_FUNCION,DDP13ciuo08,DS_P14,DS_P15,DS_P16,DS_P17,DS_P17_NHORAS,DS_P18,DS_P19,DS_P20A,DS_P20A_ACTIVIDAD,DS_P20B,DS_P20B_FUNCIONES,DS_P20C,DS_P20C_OTRO,DDP20cuio08,DS_P21,DS_P22,DS_P23,DS_P24,DS_P25,DS_P25_OTRA,DS_P26,DS_P27,DS_P28,DS_P29,DS_P29_OTRO,DS_P30,DS_P31,DS_P31_OTRO,DS_P32A,DS_P32A_OTRO,DS_P32B,DS_P32B_OTRO,DS_P32C,DS_P32C_OTRO,DS_P33,DS_P33_EDAD,DS_P34,DS_P35,DS_P36,DS_P37,DS_P37_OTRO,DS_P38,DS_P38_OTRO,DS_P39,DS_P40,DS_P41,P42_1,P42_2,P42_3,P42_4,P42_5,P42_6,P42_7,P42_8,P42_9,P42_10,P42_11,P42_12,P42_13,P42_14,P42_15,P42_16,P42_17,P43_1,P43_2,P43_3,P43_4,P43_5,P43_6,PONDERADOR,SEXO_ENTREV,EDAD_ENTREV,TRAMO_EDAD,GSE,POSICION_POLITICA,ESCOLARIDAD
1274,Metropolitana de Santiago,13,La Florida,1,29,4,16,12,5,3,2,4,3,9,3,9,2,2,2,2,2,2,3,9,-,9,-,8,-,8,-,7,7,2,2,2,6,2,3,2,2,2,2,2,2,2,6,6,3,2,2,2,2,6,2,2,3,1,2,2,6,2,6,2,2,2,1,1,1,1,1,1,1,1,2,2,8,8,8,8,3,2,3,4,4,3,4,2,3,2,4,4,4,4,4,3,2,4,1,1,3,2,2,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,3,2,2,1,1,1,1,3,2,1,1,1,1,1,2,,-,2,2,4,1,1,2,2,3,2,2,2,2,2,2,4,3,4,2,1,1,3,1,5,5,4,2,2,2,3,4,3,4,2,2,5,4,2,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,5,4,4,1,1,2,2,2,2,4,3,2,1,33,,27,5,1981,12,4,1,1,8,1,,,2,,,1,2,1,CAJERA,1,CAJERA,1,SUPERMERCADO,9621,1,1,1,1,8,1,2,9999,-,9999,-,9999,-,9999,1,4,4,1,1,-,7,5,2,,-,88,1,4,1,2,1,2,1,0,1,12,8,10,1,1,-,1,-,1,2,3,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,0.113,2,33,2,3,4,3
1275,Metropolitana de Santiago,13,La Florida,1,28,4,11,6,10,3,3,3,4,2,2,2,2,2,2,2,2,2,3,4,-,,-,4,-,1,-,1,,5,3,3,3,1,3,3,4,3,3,2,2,4,3,4,5,1,4,5,6,3,3,6,3,1,3,3,3,3,3,3,2,2,2,2,1,5,1,5,2,1,2,2,4,4,4,4,2,1,4,4,4,4,4,2,4,1,4,4,3,3,3,3,3,3,1,2,3,2,2,1,1,3,2,2,2,2,2,2,2,4,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,,-,2,4,4,1,1,1,1,3,2,3,2,2,4,1,3,3,2,1,1,3,3,3,3,3,1,2,2,2,3,3,2,3,2,2,3,2,2,2,2,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,2,2,1,1,3,3,3,3,3,5,2,999,,,,,,15,7,1,1,8,1,,,2,,,1,9,9999,-,9999,-,9999,-,9999,1,3,,,,,,,-,,-,,-,,,7,4,3,99,-,99,5,9,,-,88,99,,,,,,,,,,99,99,5,1,-,1,-,1,1,3,1,1,9,1,1,2,1,2,1,2,1,1,1,9,9,9,2,9,9,9,9,9,9,0.102,2,23,1,3,1,4
1276,Metropolitana de Santiago,13,La Florida,1,20,4,15,16,6,1,3,2,4,3,2,2,1,2,2,2,1,2,3,9,-,9,-,4,-,4,-,5,,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,5,5,3,2,4,4,4,4,4,3,3,3,1,4,4,4,4,4,4,1,4,4,1,2,4,1,2,2,1,3,3,3,3,2,3,2,2,4,3,3,4,1,1,4,3,2,2,3,2,3,2,2,2,2,1,1,1,7,-,1,1,4,1,1,2,5,4,3,3,5,4,3,2,4,1,5,1,1,1,3,4,2,2,3,2,5,3,5,3,4,4,3,4,4,3,1,2,5,3,5,2,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,-,,1,3,3,3,1,2,4,4,5,5,5,4,2,1,37,,22,6,1977,16,7,1,1,55,1,,,2,,,1,2,1,ADMINISTRATIVO INDUSTRIA ALIMENTICIA,1,LABORES ADMINISTRATIVAS CONTABLES,1,INDUSTRIA ALIMENTICIA,3343,1,1,1,1,55,1,2,1,CARTERO,1,DISTRIBUCIN DE CORRESPONDENCIA,1,DISTRIBUCIN DE CORRESPONDENCIA,9621,1,8,4,1,10,-,8,1,1,9,-,88,1,6,1,3,1,3,99,,1,6,11,11,3,1,-,1,-,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,0.157,2,37,3,3,3,4
1277,Metropolitana de Santiago,13,La Florida,1,27,4,16,13,3,3,1,3,2,2,2,3,2,2,2,2,2,1,2,9,-,9,-,2,-,,-,7,7,2,4,6,6,4,4,1,1,4,4,4,4,1,6,6,4,6,2,4,6,6,4,6,2,2,4,4,6,6,6,6,2,1,1,4,3,3,2,5,2,1,2,1,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,4,4,4,4,2,2,1,2,1,1,1,1,1,1,4,1,1,1,1,2,,-,2,4,2,2,1,2,2,4,4,4,2,4,4,2,1,2,5,3,1,3,1,3,5,5,2,2,2,2,4,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,1,1,4,2,1,1,1,34,,19,4,1981,12,4,1,1,10,4,,,1,1,6,1,2,1,JEFE DE PATIO,1,JEFE,1,PLSTICOS,9999,1,3,,,,,,,-,,-,,-,,,4,4,3,9,-,8,5,1,1,-,88,1,1,1,1,1,0,1,0,98,,99,99,9,1,-,1,-,1,3,3,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,0.071,1,34,2,3,4,3
1278,Metropolitana de Santiago,13,La Florida,1,20,4,10,11,9,2,9,2,4,3,3,9,9,9,1,1,9,1,9,99,-,99,-,9,-,9,-,9,7,8,8,9,6,4,3,6,6,6,2,3,9,3,6,2,6,6,2,2,9,6,6,8,6,6,9,3,6,6,3,6,9,9,5,99,4,99,4,99,3,3,9,9,9,9,9,9,3,9,9,9,9,3,2,3,9,9,3,3,4,4,9,9,3,9,9,9,9,9,2,1,9,2,9,9,9,9,9,9,9,9,9,4,4,9,3,9,9,2,2,2,2,2,2,2,2,2,3,1,3,,-,3,9,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2003,8,3,1,2,,,,,,,,,,,,,,,,,3,-,1,2,,,,,,3,4,9,2,4,5,2,1,77,,4,8,1937,6,1,2,,,9,,,2,,,1,8,9998,-,1,ASESORA,1,HOGAR,9111,9,3,,,,,,,-,,-,,-,,,1,2,3,1,-,7,5,1,99,-,88,1,1,1,1,1,0,1,0,98,,6,7,2,1,-,1,-,1,5,3,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.036,2,77,5,3,5,2
1279,Metropolitana de Santiago,13,La Florida,1,25,4,5,9,10,3,2,2,3,2,2,2,2,2,2,2,1,2,3,9,-,9,-,4,-,4,-,7,7,2,2,2,2,2,3,2,3,4,2,2,2,3,2,2,4,2,2,4,2,3,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,1,1,4,2,2,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,9,2,2,2,2,2,2,2,2,2,2,2,9,9,9,,-,9,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,99,-,9,9,,,,,,9,9,4,2,4,3,2,1,23,,,,,17,7,3,,,,,,,,,,,,-,,-,,-,,7,3,,,,,,,-,,-,,-,,,99,9,9,99,-,99,99,2,,-,88,1,4,1,4,99,,99,,98,,99,99,5,1,-,1,-,1,1,3,1,9,9,9,1,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1.329,2,23,1,3,4,4
1282,Metropolitana de Santiago,13,La Florida,1,26,4,3,11,5,1,3,2,2,3,2,2,2,2,1,1,1,2,2,9,-,9,-,4,-,4,-,4,,4,5,2,8,2,5,3,2,2,5,4,4,1,1,2,1,3,4,1,8,8,8,3,4,4,4,1,8,2,8,8,2,2,7,1,4,1,1,2,4,1,1,2,8,5,2,2,4,4,4,4,4,4,3,2,4,3,3,4,3,2,4,1,4,4,2,2,5,1,2,1,2,3,3,3,3,3,3,3,2,5,5,5,4,5,1,5,3,1,1,1,1,4,3,3,1,3,3,3,1,1,-,2,1,4,1,1,3,2,5,3,2,3,2,1,1,5,1,5,5,1,1,3,4,2,3,3,2,5,2,5,3,3,5,1,3,4,2,2,1,4,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,2,3,2,1,1,3,2,2,2,4,3,1,1,28,,3,9,1986,12,4,1,1,45,1,,,1,999,,1,2,1,ANALISTA DE CALIDAD,1,AUDITORIAS DE PROCEDIMIENTO,1,AUDITORIAS DE PROCEDIMIENTOS,2411,1,3,,,,,,,-,,-,,-,,,99,3,2,11,-,8,6,1,8,PROGRESISTA,88,1,6,1,6,99,,99,,98,,11,12,5,1,-,1,-,2,2,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2.773,1,28,2,3,3,3
1283,Metropolitana de Santiago,13,La Florida,1,25,4,3,5,7,1,3,2,4,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,6,6,6,2,3,2,2,6,6,2,2,6,6,6,2,2,2,2,6,2,6,2,2,2,2,2,2,6,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,4,2,2,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,8,9,9,,-,9,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,99,-,9,2,,,,,,3,4,4,4,4,2,2,1,37,,1,3,1978,8,2,3,,,,,,,,,,,,-,,-,,-,,9,1,1,999,,1,2,9999,-,1,TAXISTA,9999,-,8322,2,3,3,1,9,-,5,6,2,,-,88,1,5,1,2,99,,99,,98,,99,99,1,1,-,1,-,1,1,3,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.686,2,37,3,3,4,2
1284,Metropolitana de Santiago,13,La Florida,1,25,4,2,9,7,1,3,1,4,3,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,1,1,5,2,2,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,9,9,2,,-,2,4,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,99,-,9,2,,,,,,4,5,5,4,4,4,2,1,61,,,,,99,,9,,,,,,,,,,,,-,,-,,-,,8,9,,,,,,,-,,-,,-,,,99,9,9,99,-,99,99,9,,-,88,99,,,,,,,,,,99,99,2,1,-,1,-,1,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.469,2,61,5,3,4,5
1285,Metropolitana de Santiago,13,La Florida,1,21,4,8,7,5,1,2,3,3,3,2,2,8,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,2,4,2,8,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,4,3,3,2,2,2,8,8,2,3,1,2,2,2,1,3,2,1,1,2,3,4,4,2,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,2,3,3,2,1,1,8,2,1,1,3,3,3,3,3,3,2,3,5,4,3,3,3,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,,-,2,2,2,2,1,8,9,9,9,9,2,9,9,9,5,5,1,5,3,3,8,4,8,8,4,8,2,3,4,3,3,3,3,3,3,8,3,3,3,3,3,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,8,8,8,9,9,3,4,4,3,3,3,2,1,46,,,,,12,4,2,,,9,,,9,,,9,9,9999,-,9999,-,9999,-,9999,5,2,1,998,,1,2,9999,-,9999,-,9998,-,9999,99,5,4,9,9,-,8,5,1,99,-,88,1,3,1,2,1,1,99,,1,8,10,11,4,1,-,1,-,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,0.43,2,46,4,3,4,3
1286,Metropolitana de Santiago,13,La Florida,1,26,4,3,2,11,3,2,3,3,3,2,1,2,2,2,2,2,2,3,4,-,,-,1,-,,-,1,,3,1,2,6,1,4,2,6,2,4,1,3,4,4,5,6,1,2,5,6,2,2,6,1,1,6,2,2,2,4,6,1,2,1,1,2,2,1,3,3,1,2,2,5,5,4,3,4,2,4,2,4,4,4,4,3,4,4,4,4,4,4,4,3,3,1,2,4,1,2,2,1,3,3,3,3,3,3,3,3,3,3,2,3,2,4,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,-,2,1,4,2,1,2,4,3,4,3,4,3,2,2,4,2,5,5,1,1,3,4,4,4,2,2,3,2,3,3,3,4,2,3,4,3,1,2,4,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,3,2,2,1,1,3,4,3,2,4,3,1,1,42,,,,,15,6,1,1,45,1,,,2,,,1,2,1,VENDEDOR,1,VENDEDOR DE SERVICIOS,1,TELEFONA,5211,1,3,,,,,,,-,,-,,-,,,6,4,3,1,-,8,5,1,99,-,88,1,1,1,1,1,0,1,0,98,,99,99,4,1,-,1,-,1,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.493,1,42,3,3,1,4
1287,Metropolitana de Santiago,13,La Florida,1,2,5,15,16,5,2,3,3,2,2,2,2,2,2,2,2,1,2,8,9,-,9,-,4,-,4,-,7,7,2,2,8,6,1,3,8,6,8,8,3,1,3,6,8,8,2,8,2,8,6,6,8,2,2,8,2,6,8,8,6,1,2,5,1,5,4,3,5,5,3,2,2,3,3,8,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,2,5,2,2,2,1,1,8,8,3,3,3,8,8,5,2,5,5,5,1,5,5,1,2,1,2,1,3,1,1,1,4,4,2,,-,2,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014,5,1,8,1,3,1,2,4,3,1,5,1,1,1,2,1,2,1,1,1,2,-,3,1,2,2,2,2,1,5,5,1,1,5,3,1,1,25,,20,3,1990,15,7,2,,,1,,,2,,,1,2,1,REPARTIDOR DE PIZZA,1,REPARTIR PIZZA,1,FABRICACIN DE PIZZA,9621,5,3,,,,,,,-,,-,,-,,,4,2,3,9,-,8,5,2,,-,88,1,3,1,2,1,1,1,0,1,13,9,9,5,1,-,1,-,1,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,0.748,1,25,2,3,4,4
1288,Metropolitana de Santiago,13,La Florida,1,2,5,5,12,1,3,1,4,2,1,1,2,2,2,1,2,1,1,3,8,PROGRESISTA,,-,4,-,,-,5,,3,5,4,5,4,5,2,6,3,3,2,3,1,2,5,4,4,3,3,6,3,6,3,3,3,2,1,3,6,6,4,2,2,6,5,4,4,4,5,5,2,1,1,2,2,1,1,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,1,1,1,4,1,2,2,1,3,3,3,3,1,3,3,3,5,5,5,1,1,3,5,1,1,1,1,1,1,1,1,5,1,4,4,3,,-,3,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,2,2,2,-,3,2,,,,,,3,1,1,5,5,3,1,1,20,,18,3,1995,14,7,3,,,,,,,,,,,,-,,-,,-,,7,3,,,,,,,-,,-,,-,,,8,4,3,9,-,8,6,1,8,PRO,88,1,3,1,3,1,1,99,,99,,12,12,5,1,-,1,-,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1.304,1,20,1,3,3,4
1289,Metropolitana de Santiago,13,La Florida,1,21,4,10,5,7,3,2,3,3,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,4,2,8,2,1,8,2,8,2,8,2,2,4,8,2,4,2,2,1,2,2,2,2,2,1,3,8,2,2,2,6,1,2,1,2,2,1,2,1,2,2,2,2,4,4,3,8,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,1,1,1,2,2,1,2,3,8,3,8,3,3,1,3,4,3,3,8,8,1,3,3,1,2,2,2,2,1,2,2,2,1,3,2,,-,2,3,3,1,1,1,3,3,4,4,3,2,2,3,4,4,5,5,1,1,3,2,3,2,2,8,3,2,4,4,3,3,3,2,3,8,2,2,2,3,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,-,,1,2,2,2,3,2,3,3,3,3,3,3,1,1,30,,,,,15,8,1,1,8,1,,,1,999,,1,1,9998,-,9998,-,9999,-,9999,1,3,,,,,,,-,,-,,-,,,8,5,3,9,-,8,6,1,99,-,88,1,2,1,2,99,,99,,98,,11,11,5,1,-,1,-,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,0.748,1,30,2,3,4,4
1291,Metropolitana de Santiago,13,La Florida,1,27,4,1,5,8,3,3,3,4,2,2,2,2,8,1,8,2,1,3,9,-,9,-,4,-,4,-,4,,6,5,6,6,3,1,8,1,6,1,4,2,1,6,4,6,4,6,1,6,6,6,5,4,5,6,6,6,6,6,6,3,3,1,1,1,1,1,1,1,1,2,2,3,3,8,5,4,4,4,4,3,4,4,4,4,3,3,3,1,3,3,1,3,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,3,8,8,8,8,8,8,5,5,1,1,1,1,1,1,1,1,1,4,4,3,,-,3,1,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1974,5,1,1,2,,,,,,,,,,,,,,,,,2,-,1,1,8,8,8,8,8,5,3,3,2,2,3,1,1,95,,,,,12,4,2,,,1,,,2,,,1,1,1,FERROCARRILERO,1,MANTENCIN DE FERROCARRILES,1,TRANSPORTE,7231,8,3,,,,,,,-,,-,,-,,,4,3,3,1,-,3,5,2,,-,88,1,3,1,3,1,0,1,0,98,,99,99,2,1,-,1,-,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,0.104,1,95,5,2,3,3
1292,Metropolitana de Santiago,13,La Florida,1,27,4,9,2,11,3,2,3,3,2,3,3,1,1,8,1,1,1,2,9,-,9,-,4,-,4,-,3,,4,2,3,8,5,3,3,4,3,2,4,3,2,3,3,3,2,3,1,4,3,3,4,4,5,4,5,5,5,4,2,3,3,1,5,5,1,5,2,6,5,1,2,3,3,5,3,2,1,4,4,3,2,3,1,3,1,4,4,4,2,3,3,4,3,2,1,5,2,2,3,3,2,3,1,3,3,2,8,8,5,4,2,4,4,1,3,3,1,3,1,2,1,1,2,2,1,4,3,3,,-,3,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2,1,1,2,3,5,5,5,1,1,2,1,2,2,2,1,3,-,1,1,1,1,1,1,1,4,3,3,1,5,2,1,1,78,,4,1,1937,12,4,2,,,1,,,2,,,2,2,1,CONSERJE,1,CUIDAR LA ENTRADA DE PERSONAS A UN EDIFICIO,1,EDIFICIO PARTICULAR,5153,8,1,3,,,,,,-,,-,,-,,9,4,2,3,9,-,8,5,1,99,-,88,1,2,1,2,1,0,1,0,98,,6,6,1,1,-,1,-,1,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.07,1,78,5,2,2,3
1293,Metropolitana de Santiago,13,La Florida,1,2,5,9,11,14,3,2,3,1,1,3,3,1,1,8,1,1,1,2,9,-,9,-,4,-,4,-,4,,4,1,2,6,4,2,2,4,4,4,4,2,4,4,4,4,2,3,4,2,3,4,2,3,1,2,4,8,8,6,4,1,1,6,1,5,5,5,6,6,6,1,2,3,5,3,3,4,1,1,4,4,3,2,4,2,2,1,3,3,1,4,4,4,2,1,1,1,2,2,2,1,2,3,2,1,3,3,3,2,1,5,4,3,5,1,3,3,1,2,1,1,3,2,1,2,2,4,4,2,,-,2,2,1,1,1,2,1,9,3,3,2,3,3,3,3,3,5,2,2,1,2,2,5,5,3,2,2,2,1,3,3,5,5,3,1,4,3,3,5,1,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,3,3,3,3,1,1,1,67,,,,,15,6,1,999,,1,,,9,,,9,9,1,TCNICO ELCTRICO,1,INSTALACIN ELECTRICIDAD,9999,-,9321,99,1,9,,,,,,-,,-,,-,,99,99,3,9,99,-,99,5,9,,-,88,1,3,1,3,1,0,1,0,98,,99,99,1,99,-,99,-,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.104,1,67,5,2,3,4
1296,Metropolitana de Santiago,13,La Florida,1,27,4,5,11,3,2,2,4,4,2,1,3,2,2,1,1,2,2,3,9,-,9,-,4,-,4,-,7,7,2,5,6,6,5,2,4,2,6,4,2,1,5,2,4,5,2,4,2,6,6,2,1,5,4,4,6,6,2,6,8,3,3,1,5,4,1,4,3,4,1,2,8,3,3,3,3,2,1,4,3,4,4,4,1,4,1,1,3,2,3,3,3,1,2,2,8,3,2,2,1,1,3,3,3,3,3,3,3,3,4,1,2,5,5,4,5,1,1,1,1,1,1,1,1,1,1,4,3,1,2,-,2,1,5,1,1,1,1,5,5,3,5,1,1,1,1,2,5,1,1,1,3,1,2,1,4,2,3,3,3,8,2,2,3,1,2,3,3,2,5,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,3,3,1,4,3,2,1,51,,22,7,1963,12,4,1,1,60,1,,,2,,,2,2,1,ASESORA DEL HOGAR,1,"HACER ASEO, CUIDAR ABUELITO",9998,-,9111,1,1,1,999,,9,9,9999,-,9999,-,9998,-,9999,99,4,3,3,1,-,8,5,9,,-,88,1,3,1,3,1,0,1,0,98,,99,99,1,1,-,1,-,1,1,4,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,0.105,2,51,4,3,4,3
