xpos,ypos,distpinx,distpiny,distpin,distfrx,distfry,distfr,ditpinfrx,predpin,coinc1,strat1,strat2,Voto1,VotoPF,VotoPE,MBP22_A,MBP22_B,MBP22_C,MBP22_D,MBP22_E,MBP22_F,MBP02,MBP03,MBP04,MBP05,MBP07,MBP15,MBP21_A,MBP21_B,MBP21_C,MBP21_D,correct,correct2,NSE,vote
0.424031432,-2.58246574,0.582352758,0.897564206,1.06993282,0.159635705,2.170199457,2.176062785,0.422717054,1,0,1,0,4,5,4,2,3,3,3,1,1,4,2,4,3,1,2,9,10,3,2,1,1,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,1,2,1,1,1,1,3,2,3,2,1,3,3,6,4,1,1,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,1,2,1,1,1,1,3,1,4,2,1,1,3,7,5,4,0,0,2,1
-0.106493784,0.054316636,1.112877974,1.739218169,2.064794718,0.370889511,0.466582918,0.596035779,0.741988463,1,1,0,0,1,1,1,2,2,2,3,2,1,2,1,2,2,1,3,3,8,5,2,1,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,2,2,1,2,1,1,2,1,3,2,1,1,3,9,4,1,1,0,2,1
0.165318139,-0.169349349,0.841066051,1.515552184,1.733288933,0.099077588,0.242916933,0.262345202,0.741988463,1,0,0,0,2,2,4,1,2,2,2,1,1,4,2,3,3,1,2,5,10,3,1,1,1,1,0
1.813712413,0.310911143,0.807328222,1.995812676,2.152915952,1.549316685,0.723177425,1.709785887,-0.741988463,0,0,0,0,1,1,1,3,3,2,2,1,1,5,1,3,1,2,1,4,4,4,2,0,0,1,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,3,3,3,3,1,1,4,3,4,3,1,5,7,10,2,1,1,1,1,1
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,2,3,2,2,1,1,3,1,4,3,3,1,4,6,4,1,1,0,1,1
0.210910728,0.061438135,0.795473463,1.746339669,1.918978965,0.053485,0.473704418,0.476714297,0.741988463,1,1,0,0,1,1,1,1,1,1,1,1,1,3,8,3,3,1,5,4,9,5,4,0,0,3,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,4,3,2,2,1,1,1,4,1,4,3,1,2,4,10,5,2,1,0,3,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,1,2,2,2,2,1,2,1,4,2,1,1,1,8,3,1,0,0,2,1
-0.40071897,0.17058417,1.40710316,1.855485703,2.328683426,0.665114698,0.582850452,0.884359774,0.741988463,1,0,0,0,3,2,4,2,3,2,2,2,1,3,1,3,2,1,3,5,8,4,3,1,1,3,0
1.170960471,-0.010490542,0.164576281,1.674410992,1.682479575,0.906564743,0.401775741,0.991606464,-0.741988463,0,0,0,0,5,5,5,3,1,1,1,3,1,2,1,3,1,3,1,2,10,99,99,0,0,2,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,3,3,1,1,3,2,3,1,2,2,1,1,1,10,5,2,0,0,2,1
